Word,Meaning
אותי,me
אותךָ,"thee (m,s)"
אותךְ,"thee (f,s)"
אותו,"him (m,s)"
אותה,"her (f,s)"
צריך,need
אותנו,us
אתכם,"you (m,p)"
אתכן,"you (f,p)"
אותם,"them (m,p)"
אותן,"them (f,p)"
