Word,Meaning
אם,if
אבל,but
כי,because
עדיין,still
גם,also
אף על פי,even though
למרות,despite
רק,only
כבר,already
חוץ מ...,except for...
אפילו,even
בזמן ש...,while
מתי ש...,when
אז,so
לכן,"so, that's why"
כש...,when
אחרי ש,after that
אך,"but, however, nevertheless"
לפני ש,before that
אלא,"but, only, however"
אף,"also, even"
