Word,Meaning
אהיה,I will be
תהיה,you/she will be
תהיי,you will be
נהיה,we will be
תהיו,you will be
יהיו,they will be
תהיינה,you/they will be
יהיה,he will be
יאכל,will eat
ישתה,will drink
יכתוב,will write
ישחה,will swim
יראה,will see
ישמע,will hear
יעשה,will do
יחשוב,will think
יאהב,will love
יתן,will give
ילך,will go
יעמוד,will stand
ישלם,will pay
יפספס,will miss
ישנה,will change
ינסה,will try
יבחר,will choose/elect
ידבר,will talk/speak
יחפש,will search/look for
יבקר,will visit
יאשר,will approve/authorize
יקשיב,will listen
יתחיל,will start/begin
יגיע,will arrive
יסביר,will explain
יַראה,will show
יגיד,will say/tell
יזמין,will invite
יזכיר,will remind
יחליט,will decide
יבין,will understand
יסכים,will agree
ישלח,will send
יסתכל,will look
ישתמש,will use
יתקשר,will call (phone)
יתקרב,will come closer
יתגעגע,will miss (feeling)
ישתנה,will change
יצטרף,will join
יתקלח,will shower
יתנצל,will apologize
יתעלם,will ignore
יתכונן,will prepare
יתחבר,will connect
יבוא,will come
עתיד,future
עבר,past
הווה,present
