Word,Meaning
כלבלב,puppy
חתלתול,kitten
קטנטן,tiny
אדמדמה,reddish
ירקרק,greenish
כחלחל,blueish
צהבהב,yellowish
חזרזיר,piglet
צלוחית,saucer
מלונית,"motel, inn"
שקית,small bag
גחלילית,firefly
ידית,handle
קשית,straw
ילדון,little boy
ילדונת,little girl
דובון,teddy bear
פילון,young elephant
ספרון,booklet
מחשבון,calculator
מגבון,towelette
