Word,Meaning
כותב,writes
שוחה,swims
שומע,hears
ישן,sleeps
נוגע,touches
אומר,says
עושה,does
עובד,works
מוצא,finds
תומך,supports
לוקח,takes
יודע,knows
נותן,gives
קונה,buys
מוכר,sells
רושם,"writes, lists"
סוגר,closes
פותח,opens
כואב,aches
חושב,thinks
חוזר,"returns, comes back"
קורא,reads
שומר,guards
לומד,studies
הולך,"walks, goes"
כועס,is mad about...
כולל,includes
זוכר,remembers
רץ,runs
שר,sings
נח,rests
עוזב,leaves
שוקל,weighs
עוזר,helps
שונא,hates
חותם,signs
רוקד,dances
יוצר,creates
עומד,stands
חותך,cuts
יושב,sits
גדל,grows
שוכח,forgets
צופה,watches
יוצא,"goes out, exits"
בוהה,stares
שוכר,rents
שולח,sends
בודק,checks
שובר,breaks
גונב,steals
הופך,turns
בורח,"escapes, runs away"
מכיר,knows (recognizes)
עונֶה,answers
אחד (-)שני,each other
