Word,Meaning
הצילו!,help!
עזרה,help
חילוץ,rescue
כבאי,firefighter
זהירות,caution
חובש,medic
לכוד,trapped
מקרה חירום,emergency
מגן דוד אדום,Magen David Adom
החייאה,CPR
פצוע,injured
מצוקה,distress
תאונה,accident
שריפה,fire
מסוכן,dangerous
פיצוץ,explosion
עזרה ראשונה,first aid
אזעקה,"alarm, siren"
