Word,Meaning
מצלמה,camera
אמנות,art
סגנון,style
דמות,"character, figure"
צילום,photography
צלם,photographer
ריקוד,dance (noun)
ספרות,literature
רקדן,dancer
אופנה,fashion
שירה,poetry
קהל,"audience, crowd"
גלריה,gallery
אוסף,collection
איור,illustration
מכחול,paintbrush
ציור,painting
תיאטרון,"theater, theatre"
סטודיו,studio
פסל,sculpture
הצגה,"show (in theater), performance"
במה,"stage, platform"
מפיק,producer
תסריט,script
אולפן,studio
פסקול,soundtrack
אפקט,effect
סרט,film
