Word,Meaning
יש,there is
אין,there is no
לי,to me
לךָ,"to you (m,s)"
לךְ,"to you (f,s)"
לו,to him
לה,to her
לנו,to us
לכם,"to you (m,p)"
לכן,"to you (f,p)"
להם,to them (m)
להן,to them (f)
ל...,to
