Word,Meaning
לוּ,if (haven't/can't happen)
אִילו,if (haven't/can't happen)
לולא,If not
אילולא,If not
היה יכול,could have
היה צריך,should have
הייתי,I was
הייתָ,you were (m. sg.)
הייתְ,you were (f. sg.)
היה,he was
הייתה,she was
היינו,we were
הייתם,you were (m. pl.)
הייתן,you were (f. pl.)
היו,they were (c. pl.)
