Word,Meaning
גברים,men
נשים,women
אנחנו,we
ילדים,children
רואים,"see (m,p)"
רואות,"see (f,p)"
הם,they (m)
הן,they (f)
אתן,"you (f,p)"
אתם,"you (m,p)"
