Word,Meaning
נא,please
מדוע,why
כיצד,how
אדוני,sir
גברתי,ma'am
עתה,now
מאין,from where
היכן,where
ולאן,and where
מהי,what is
אנא,please
אנו,we
אשר,which
הבה,let's
אין,is not
איני,I am not
אינךָ,you are not
אינךְ,you are not
אינו,he is not
אינה,she is not
איננו,we are not
אינכם,you are not
אינכן,you are not
אינם,they are not
אינן,they are not
אינני,I am not
איננה,she is not
