Word,Meaning
לדיהם,Their generation
שמלתה,Her dress
חולצתו,His shirt
כלבתה,Their female dog
מסעדתנו,Our restaurant
ילדתו,His daughter
סוס,Horse
כלבם,Their dog
אמי,My mother
אביו,His father
ילדו,His child
ילדותיו,His daughters
ציפורים,Birds
מסעדותיה,His restaurants
חולצותיהם,Their shirts
כלביהם,Their dogs
