Word,Meaning
שלי,my
שלךָ,"your (m,s)"
שלךְ,"your (f,s)"
שלו,his
שלה,her
שלכם,"your (m,p)"
שלכן,"your (f,p)"
שלנו,our
שלהם,their (m)
שלהן,their (f)
של,of
שיך,belongs
