Word,Meaning
שלום,hello
תודה,thanks
להתראות,goodbye
מה נשמע?,how are you?
מה קורה?,what's happening?
מה שלומךָ?,how are you? (m)
מה שלומךְ?,how are you? (f)
בסדר,fine
סליחה,sorry
בבקשה,please
אין בעד מה,you are welcome
לילה,night
בוקר,morning
ערב,evening
אולי,maybe
עברית,Hebrew
אנגלית,English
ברוך הבא,welcome
קוראים לי,my name is
בהצלחה,good luck
מזל טוב,congratulations
תודה רבה,thank you very much
להנות,to enjoy
בתיאבון,Bon Appetit
