Word,Meaning
יפֶה,beautiful
תפוז,orange (fruit)
תפוח,apple
כיף,fun
קוראת,"reads (f,s)"
קורא,"reads (m,s)"
מתוק,sweet
יפָה,"beautiful (f,s)"
ספר,book
אפרסק,peach
עצוב,sad
רע,bad
עיתון,newspaper
עוף,chicken (food)
עוגה,cake
רוצֶה,"wants (m,s)"
מיץ,juice
רוצָה,"wants (f,s)"
חמוץ,sour
טוב,good
טעים,tasty
