title,word,meaning
Plurals,צבים,turtles
Plurals,פילים,elephants
Plurals,ציפורים,birds
Plurals,כריכים,sandwiches
Plurals,ברווזים,ducks
Plurals,דרכים,roads
Plurals,צלחות,plates
Plurals,חיות מחמד,pets
Plurals,יינות,wines
Plurals,גבינות,cheeses
Plurals,בירות,beers
Plurals,עוגות,cakes
Plurals,כלבות,dogs (f)
Plurals,סוסות,horses (f)
Plurals,חתולות,cats (f)
Plurals,ברווזות,ducks (f)
Plurals,פרות,cows
Plurals,ילדות,girls
Plurals,אריות,lions
Possessives 1,שלי,my
Possessives 1,שלךָ,"your (m,s)"
Possessives 1,שלךְ,"your (f,s)"
Possessives 1,שלו,his
Possessives 1,שלה,her
Possessives 1,שלכם,"your (m,p)"
Possessives 1,שלכן,"your (f,p)"
Possessives 1,שלנו,our
Possessives 1,שלהם,their (m)
Possessives 1,שלהן,their (f)
Possessives 1,של,of
Adjectives 1,קטן,small
Adjectives 1,גדול,big
Adjectives 1,חדש,new
Adjectives 1,ישן,old (objects)
Adjectives 1,חם,hot
Adjectives 1,קר,cold
Adjectives 1,גבוה,"tall, high"
Adjectives 1,נמוך,"short, low"
Adjectives 1,קרוב,close
Adjectives 1,רחוק,"far, distant"
Adjectives 1,ארוך,long
Adjectives 1,קצר,short
Adjectives 1,איטי,slow
Adjectives 1,מהיר,fast
Adjectives 1,מלא,full
Adjectives 1,ריק,empty
Adjectives 1,יבש,dry
Adjectives 1,רטוב,wet
Food 2,ארוחה,meal
Food 2,צמחוני,vegetarian
Food 2,תה,tea
Food 2,מזלג,fork
Food 2,סכין,knife
Food 2,כוס,"cup, glass"
Food 2,מפית,napkin
Food 2,כף,spoon
Food 2,קערה,bowl
Food 2,לבשל,to cook
Food 2,צמא,thirsty
Food 2,כפית,teaspoon
Food 2,תפריט,menu
Food 2,רוטב,"sauce, gravy"
Food 2,ירק,vegetable
Food 2,מסעדה,restaurant
Food 2,פלפל,"pepper, capsicum"
Food 2,מתכון,recipe
Food 2,דבש,honey
Food 2,מלוח,salty
Food 2,חריף,"hot, spicy"
Food 2,מר,bitter
Food 2,מטבח,kitchen
Food 2,מלפפון,cucumber
Food 2,לאפות,to bake
Food 2,גזר,carrot
Food 2,ממתק,candy
Food 2,עוגייה,cookie
Food 2,אבטיח,watermelon
Food 2,בוטן,peanut
Food 2,בצל,onion
Food 2,ריבה,jam
Food 2,ענב,grape
Food 2,אבוקדו,avocado
Food 2,תפוח אדמה,potato
Food 2,משקה,"beverage, drink"
Food 2,דובדבן,cherry
Food 2,מסטיק,gum
Food 2,גלידה,ice cream
Food 2,מנגו,mango
Food 2,שום,garlic
Food 2,ריח,smell
Food 2,טעם,taste
Food 2,סיר,pot
Food 2,מצרכים,ingredients
Food 2,קמח,flour
Clothing,ללבוש,to wear
Clothing,חולצה,shirt
Clothing,נעל,shoe
Clothing,חצאית,skirt
Clothing,מעיל,coat
Clothing,שמלה,dress
Clothing,לנעול,to wear shoes
Clothing,מכנסיים,pants
Clothing,חליפה,suit
Clothing,כובע,hat
Clothing,חגורה,belt
Clothing,לחבוש,to wear (headgear)
Clothing,משקפיים,glasses
Clothing,משקפי שמש,sunglasses
Clothing,כפפה,glove
Clothing,טבעת,ring
Clothing,לענוד,to wear (a ring)
Clothing,שרשרת,chain
Clothing,לשים,to put
Clothing,להרכיב,to wear (glasses)
Clothing,גרב,sock
Clothing,לגרוב,to wear (socks)
Clothing,תכשיט,a piece of jewelry
Clothing,ג'ינס,jeans
Clothing,בגד ים,swimsuit
Clothing,תחפושת,costume
Clothing,עניבה,tie
Clothing,ז'קט,jacket
Clothing,סוודר,sweater
Clothing,צמיד,bracelet
Clothing,צעיף,scarf
Clothing,כיס,pocket
Colors,אדום,red
Colors,כתום,orange (color)
Colors,שחור,black
Colors,לבן,white
Colors,כחול,blue
Colors,צהוב,yellow
Colors,ירוק,green
Colors,לצבוע,"to paint, to color"
Colors,צבע,color
Colors,אפור,grey
Colors,חום,brown
Colors,ורוד,pink
Colors,צבעוני,colorful
Colors,סגול,purple
Prepositions 1,ב...,in
Prepositions 1,מ...,from
Prepositions 1,בשביל,for
Prepositions 1,עם,with
Prepositions 1,ליד,"next to, adjacent to"
Prepositions 1,בתוך,inside
Prepositions 1,נגד,against
Prepositions 1,איתי,with me
Prepositions 1,איתה,with her
Prepositions 1,איתו,with him
Prepositions 1,איתנו,with us
Numbers,לספור,to count
Numbers,מספר,number
Numbers,יותר,more
Numbers,פחות,less
Numbers,יותר מדי,"too much, too many"
Numbers,הרבה,a lot
Numbers,אחת,one (f)
Numbers,אחד,one (m)
Numbers,שתיים,two (f)
Numbers,שניים,two (m)
Numbers,שלוש,three (f)
Numbers,שלושה,three (m)
Numbers,ארבע,four (f)
Numbers,ארבעה,four (m)
Numbers,חמש,five (f)
Numbers,חמישה,five (m)
Numbers,שש,six (f)
Numbers,שישה,six (m)
Numbers,שבע,seven (f)
Numbers,שבעה,seven (m)
Numbers,שמונֶה,eight (f)
Numbers,שמונָה,eight (m)
Numbers,תשע,nine (f)
Numbers,תשעה,nine (m)
Numbers,עשר,ten (f)
Numbers,עשרה,ten (m)
Numbers,אחת עשרה,eleven (f)
Numbers,אחד עשר,eleven (m)
Numbers,שתים עשרה,twelve (f)
Numbers,שנים עשר,twelve (m)
Numbers,שלוש עשרה,thirteen (f)
Numbers,שלושה עשר,thirteen (m)
Numbers,עשרים,twenty
Numbers,אפס,zero
Questions,מה?,what?
Questions,איפה?,where?
Questions,למה?,why?
Questions,כמה?,"how much?, how many?"
Questions,מי?,who?
Questions,מאיפה?,where from?
Questions,מתי?,when?
Questions,איך?,how?
