#separator:tab
#html:false
Rabbit	ארנב	arnav
Snake	נחש	nakhash
Monkey	קוף	kof
Tail	זנב	zanav
Pet	חיית מחמד	khayat makhamad
Owl	ינשוף	yanshuf
Rooster	תרנגול	tar'n'gol
Pig	חזיר	khazir
Bird	ציפור	tzipor
Animal	חיה	khayah
Animals	חיות	khaiut
Bee	דבורה	d'vorah
Cow	פרה	parah
Chicken (Animal)	תרנגולת	tar'n'golet
To Bark (Qal)	לנבוח	lin'boakh
English	Hebrew	Transliteration
Apples	תפוחים	tapukhim
Oranges	תפוזים	tapuzim
Dogs	כלבים	k'lavim
Cats	חתולים	khatulim
Horses	סוסים	susim
Newspapers	עיתונים	itonim
Books	ספרים	s'farim
Turtles	צבים	tzabim
Elephants	פילים	pilim
Birds	ציפורים	tziporim
Sandwiches	כריכים	k'rikhim
Ducks	ברווזים	bar'vazim
Roads	דרכים	drakhim
Plates	צלחות	tzalakhat
Pets	חיות מחמד	khayot makh'mad
Wines	יינות	yayinot
Cheeses	גבינות	g'vinot
Beers	בירות	be'erot
Cakes	עוגות	ugot
Lions	אריות	arayot
Dogs (f.p)	כלבות	k'lavot
Horses (f.p)	סוסות	susot
Cats (f.p)	חתולות	khatulot
Ducks (f.p)	ברווזות	bar'vazot
Cows	פרות	parot
Girls	ילדות	y'ladot
Belongs (m.s)	שייך	shayakh
My	שלי	sheli
Your (m.s)	שלך	shel'kha
Your (f.s)	שלך	shelakh
His	שלו	shelo
Her	שלה	shelah
Your (m.p)	שלכם	shelakhem
Your (f.p)	שלכן	shelakhen
Our	שלנו	shelanu
Their (m)	שלהם	shelahem
Their (f)	שלהן	shelahen
Of	של	shel
Adjectives 1 (M.S)		
English	Hebrew	Transliteration
Small	קטן	katan  kar gavoa namukh karov rakhok arokh katzar iti mahir male reik yavesh ratov
Big	גדול	gadol
New	חדש	khadash
Old (Objects)	ישן	yashan
Hot	חם	kham
Cold	קר	kar
Tall, High	גבוה	gavoa
Short, Low	נמוך	namukh
Close	קרוב	karov
