Word,Meaning
הזה,this (m)
האלו,these
כולן,all of them
אף אחד,nobody
הזאת,this (f)
אלה,these
כל,all
כזה,like this
אלו,these
כולם,everyone
שום,any
שום דבר,nothing
שום דבר מלבד,nothing but
אחר,other
משהו,something
שניהם,both
מישהו,someone
הכל,everything
אותו ה-,the same
ככה,"so, thus"
