Word,Meaning
ניכנס,(we) will enter
תיפגש,(you/she) will meet
תיגמר,(you/she) will come to an end
ייפגע,(he) will be damaged
ישאר,(he) will remain
ייפרדו,(they) will be separated
ליהנות,to enjoy
להישלח,"to be sent, dispatched"
להיאבד,"to be lost, perish"
להראות,to be invisible
