Word,Meaning
תפוחים,apples
תפוזים,oranges
כלבים,dogs
חתולים,cats
סוסים,horses
עיתונים,newspapers
ספרים,books
צבים,turtles
פילים,elephants
ציפורים,birds
כריכים,sandwiches
ברווזים,ducks
דרכים,roads
צלחות,plates
חיות מחמד,pets
יינות,wines
גבינות,cheeses
בירות,beers
עוגות,cakes
כלבות,dogs (f)
סוסות,horses (f)
חתולות,cats (f)
ברווזות,ducks (f)
פרות,cows
ילדות,girls
אריות,lions
