Word,Meaning
בן,son
בת,daughter
אח,brother
אחות,sister
אחים,brothers
אחיות,sisters
משפחה,family
הורה,parent
בעל,husband
אישה,wife
שם משפחה,surname
שם פרטי,first name
נישואין,marriage
סבא,grandfather
סבתא,grandmother
נכד,grandson
נכדה,granddaughter
חתונה,wedding
דוד,uncle
דודה,aunt
בן דוד,cousin (m)
בת דודה,cousin (f)
כלה,bride
חתן,groom
בן זוג,partner (m)
בת זוג,partner (f)
אחיין,nephew
אחיינית,niece
תינוק,baby
חיים,life
